Unique, e.g. BJ001;Must match Cities sheet;English name;中文名 (for taxis & maps);BJ001_cover.jpg;attraction / restaurant / experience / shopping / nightlife;2-3 objective sentences;What makes this special?;Practical tips for foreigners;Scams, closures, things to know;Comma-separated;Decimal, e.g. 39.9163;Decimal, e.g. 116.3972;Neighborhood name;"e.g. 08:30-17:00, or ""24h""";;Realistic visit time (minutes);"0=free, 1=cheap, 2=mid, 3=expensive; 4; 5";indoor / outdoor;any / daytime/ morning / afternoon / evening ;Comma-sep: solo, couple, freinds, family, elderly;best months for visit;YES / NO;1-5 scale (5=very friendly);
poi_id;city_id;name_en;name_zh;cover_image;category;description;highlights;visitor_tips;caution_notes;tags;latitude;longitude;district;opening_hours;closing_hours;avg_duration_min;price_level;indoor_outdoor;best_time_of_day;suitable_for;seasonal_notes;booking_required;foreign_friendly;signature_dishes
BJ001;BJ;Forbidden City;故宫博物院;BJ001_cover.jpg;attraction;As the world’s largest palatial complex, it served as the imperial heart for 24 emperors of the Ming and Qing dynasties. Today, it preserves 980 historic buildings across a sprawling 72-hectare site.;Hall of Supreme Harmony, Imperial Garden, treasure galleries;Enter from south (Tiananmen), exit north. Rent audio guide at entrance. Bring passport for ticket pickup.;Closed every Monday. Peak crowds Oct 1-7. No re-entry after exit.;UNESCO, imperial, must-see, historical;39.9163;116.3972;Dongcheng;8:30;17:00;180;1;outdoor;daytime;solo, couple, family;9,10.;YES;4;
BJ002;BJ;Great Wall - Mutianyu;慕田峪长城;BJ002_cover.jpg;attraction;Located 70km north of the city, this section offers a more tranquil alternative to the bustling Badaling. It features breathtaking mountain ridges and a convenient cable car for easy access to its majestic watchtowers.;Watchtowers 14-23 offer best views. Toboggan ride down.;Take the cable car up, walk along the wall, toboggan down. Bring water and sunscreen. Wear hiking shoes.;90-min drive from city center. Plan a full half-day. Avoid weekends.;UNESCO, Nature, Hiking, Must-see, Instagram;40.4319;116.5681;Huairou;7:30;18:00;240;1;outdoor;morning;solo, couple, family;4,5,6,9,10,11. ;YES;3;
BJ003;BJ;Temple of Heaven;天坛;BJ003_cover.jpg;attraction;A masterpiece of Ming dynasty craftsmanship where emperors once held grand rituals to pray for bountiful harvests. It is now set within a sprawling park where you can witness the charming daily life of local Beijingers.;Hall of Prayer for Good Harvests, Echo Wall, park morning exercises;"Visit early morning (before 9am) to see locals doing tai chi and dancing. The park is free; temple complex requires ticket.";Audio guide available in 40+ languages. South entrance closest to metro.;UNESCO, Imperial, Park, Instagram, Photography;39.8822;116.4066;Dongcheng;"6:00(Apr.-Oct.);6:30(Nov.-Mar.)";22:00;120;1;outdoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
BJ004;BJ;Nanluoguxiang Hutong;南锣鼓巷;BJ004_cover.jpg;experience;One of Beijing's most iconic ancient hutongs. This lively pedestrian street is packed with boutique crafts, trendy cafes, and local snacks, while the quiet side alleys nearby offer a glimpse into the city's traditional soul.;Side alleys (away from main street) show authentic hutong life. Local craft beer bars.;Skip the main street crowds — duck into side alleys for the real experience. Great for photography. Easy to combine with Drum Tower.;"Very crowded on weekends and holidays. Main street is touristy; side alleys are authentic.";Local Life, Local Snacks, Citywalk, Foodie, Instagram;39.9375;116.403;Dongcheng;24h;24h;90;0;outdoor;any;solo, couple, friends;4,5,6,9,10.;NO;4;
BJ005;BJ;Peking Duck at Da Dong;大董烤鸭店;BJ005_cover.jpg;restaurant;"An award-winning pioneer of modern Peking duck. Renowned for its signature ""super-lean"" crispy skin and artistic culinary presentation, it remains a must-visit for a sophisticated dining experience.";Signature lean-style Peking duck. Contemporary Chinese cuisine presentation.;Reserve 1-2 days ahead. English menu with photos available. Dongcheng branch is most foreigner-friendly.;Expect 300-500 CNY per person. Wait times can exceed 1 hour without reservation.;Cuisine, Must-try, Foodie, Architecture, Modern;39.9142;116.4343;Dongcheng;11:00;22:00;120;3;indoor;daytime;solo, couple, family, business;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
BJ006;BJ;Badaling Great Wall;八达岭长城;BJ006_cover.jpg;attraction;"The most famous and best-preserved section of the wall. It’s easy to hike and offers that classic ""Great Wall"" view you see in photos. ""if you don't see the Great Wall, you are not a hero"", it has become the first choice for global tourists to appreciate the majesty of the Great Wall. It’s easy to hike and offers that classic ""Great Wall"" view you see in photos. ""if you don't see the Great Wall, you are not a hero"", it has become the first choice for global tourists to appreciate the majesty of the Great Wall.";"North 8th Watchtower (Hao Han Po), ""Hero's Stele,"" best-preserved ramparts.";Book tickets 1-7 days in advance online (passport required). If you purchase tickets online with a foreign passport, you must pick up a physical ticket at the entrance to gain entry.;"Extremely crowded on weekends and holidays. The cable car is recommended for those with limited mobility. Wear non-slip athletic shoes; many of the steps have a slope of more than 45 degrees. A sun hat is required.";UNESCO, Historical, Nature, Hiking, Must-see;40.3597;116.0200;Yanqing;"06:30(Apr.-Oct.); 07:30(Nov.-Mar.)";"16:30(Mai.-Spt.);16:00(Oct.-Apr.)";180;1;outdoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
BJ007;BJ;Summer Palace;颐和园;BJ007_cover.jpg;attraction;The Summer Palace, a royal garden during the Qing Dynasty in China, is most notable for its perfect combination of natural landscapes surrounded by mountains and water and magnificent palace architecture, skillfully blending natural beauty with human craftsmanship.;Tower of Buddhist Incense, Kunming Lake boat rides, the Long Corridor.;Enter via North Palace Gate for the Suzhou Street start or East Palace Gate for main halls. Boat rides across Kunming Lake are highly recommended.;"It is a massive park; wear comfortable walking shoes. Tower of Buddhist Incense requires an extra ticket.";UNESCO, Imperial, Nature, Landscape, Historical;39.9997;116.2733;Haidian;"06:00(Apr.-Oct.); 06:30(Nov.-Mar.)";"20:00(Mai.-Spt.); 19:00(Oct.-Apr.)";180;1;outdoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
BJ008;BJ;Lama Temple (Yonghe Temple);雍和宫;BJ008_cover.jpg;attraction;Beijing’s most popular Buddhist temple. It’s famous for its active worship and a breathtaking 18-meter-tall Buddha statue carved from a single piece of sandalwood.;The 18-meter Sandalwood Buddha, Tibetan art, blessing rituals.;Free incense is provided at the entrance. Visit early in the morning to witness monk chanting.;Dress modestly (no short skirts/sleeveless tops). Photography is strictly prohibited inside the Buddha halls. Keep quite inside the Buddhahalls.;Religious, Historical, Culture, Architecture, Must-see;39.9472;116.4172;Dongcheng;9:00;"17:00(Apr.-Oct.); 16:30(Nov.-Mar.)";90;1;outdoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
BJ009;BJ;Universal Studios Beijing;环球影城;BJ009_cover.jpg;experience;The city's top theme park. The Harry Potter world is the biggest draw.You can check out the Transformers live show.;Harry Potter and the Forbidden Journey, Decepticoaster, Butterbeer.;Visitors can download the Beijing Universal Resort app in advance to check queue and show times.Visitors can download the Beijing Universal Resort app in advance to check queue and show times.;Arriving early to avoid peak hours will provide a better experience.;Entertainment, Immersive, Modern, Must-see, Instagram;39.8512;116.6610;Tongzhou;9:00;20:00;600;5;outdoor;morning;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
